window,kappa_totals,kappa_categories,problematic_interventions,avg_abs_delta_totals,status
screening_window,,0.6276868588177822,2,0.6716417910447762,FAIL
1_month,0.7963525835866261,0.7516935508369027,9,1.1492537313432836,FAIL
3_months,1.0,0.6967196676693883,24,2.1044776119402986,PASS
6_months,,0.611377579475739,26,3.2686567164179103,FAIL
9_months,,0.6271563717306622,28,4.201492537313433,FAIL
12_months,,0.6160565260932458,35,5.231343283582089,FAIL
