filename,intervention_type,totals_exact_rate,totals_within1_rate,totals_within3_rate,totals_mae,totals_rmse,totals_max_abs,totals_max_abs_window,categories_exact_rate,categories_within1_rate,categories_within3_rate,categories_mae,categories_rmse,category_shifts,kappa_totals,kappa_categories,per_arm_presence_flips,recon_fail_run1,recon_fail_run2,status
30516102,control,0.3333333333333333,0.3333333333333333,0.16666666666666666,1.5,2.273030282830976,5.0,12_months,0.7916666666666666,0.125,0.041666666666666664,0.375,0.9789450103725609,0,,0.9154929577464789,1,,,FAIL
30516102,intervention,0.3333333333333333,0.3333333333333333,0.16666666666666666,1.5,2.273030282830976,5.0,12_months,0.7916666666666666,0.125,0.041666666666666664,0.375,0.9789450103725609,0,,0.9154929577464789,1,,,FAIL
35660812,intervention,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.8333333333333333,2.41522945769824,5.0,6_months,0.7083333333333334,0.041666666666666664,0.16666666666666666,0.875,1.7911821050170564,0,,0.9090909090909091,1,,,FAIL
35704479,control,1.0,0.0,0.0,0.0,0.0,0.0,screening_window,1.0,0.0,0.0,0.0,0.0,0,,1.0,0,,,FAIL
35704479,intervention,0.16666666666666666,0.0,0.16666666666666666,4.166666666666667,4.7784237289438165,6.0,6_months,0.5,0.16666666666666666,0.16666666666666666,1.375,2.3003622903070435,0,,0.3913043478260869,7,,,FAIL
35759733,control,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.5773502691896257,1.0,screening_window,0.3333333333333333,0.125,0.16666666666666666,3.0,4.4907311951024935,12,,-0.33333333333333326,16,,,FAIL
35759733,intervention,0.5,0.5,0.0,0.5,0.7071067811865476,1.0,screening_window,0.875,0.125,0.0,0.125,0.3535533905932738,0,,0.9166666666666666,1,,,FAIL
35763704,control,0.16666666666666666,0.5,0.3333333333333333,1.3333333333333333,1.632993161855452,3.0,12_months,0.7916666666666666,0.125,0.08333333333333333,0.3333333333333333,0.816496580927726,0,,0.7142857142857143,3,,,FAIL
35763704,intervention,0.16666666666666666,0.5,0.3333333333333333,1.3333333333333333,1.632993161855452,3.0,12_months,0.7916666666666666,0.125,0.08333333333333333,0.3333333333333333,0.816496580927726,0,,0.7142857142857143,3,,,FAIL
35922251,control,0.3333333333333333,0.0,0.0,23.666666666666668,31.675437381878933,54.0,12_months,0.4166666666666667,0.0,0.125,11.25,21.96019125599775,2,,0.41666666666666663,7,,,FAIL
36108662,control,1.0,0.0,0.0,0.0,0.0,0.0,screening_window,0.875,0.08333333333333333,0.041666666666666664,0.16666666666666666,0.5,3,,0.9032258064516129,1,,,FAIL
36108662,intervention,1.0,0.0,0.0,0.0,0.0,0.0,screening_window,0.875,0.08333333333333333,0.041666666666666664,0.16666666666666666,0.5,3,,0.9032258064516129,1,,,FAIL
36155117,control,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.408248290463863,1.0,screening_window,0.3333333333333333,0.08333333333333333,0.2916666666666667,3.0416666666666665,4.50462725057986,15,,0.41666666666666663,7,,,FAIL
36155117,intervention,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.408248290463863,1.0,screening_window,0.3333333333333333,0.08333333333333333,0.2916666666666667,3.0416666666666665,4.50462725057986,15,,0.41666666666666663,7,,,FAIL
36162037,intervention,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.5773502691896257,1.0,9_months,0.9166666666666666,0.08333333333333333,0.0,0.08333333333333333,0.28867513459481287,0,,1.0,0,,,FAIL
36265504,control,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.408248290463863,1.0,12_months,0.625,0.2916666666666667,0.08333333333333333,0.4583333333333333,0.7905694150420949,6,,0.8344827586206897,2,,,FAIL
36265504,intervention,0.16666666666666666,0.0,0.16666666666666666,11.166666666666666,13.546217184144066,19.0,9_months,0.4583333333333333,0.125,0.125,2.875,4.860555523805895,2,,0.28,9,,,FAIL
36308441,control,0.0,0.16666666666666666,0.16666666666666666,8.666666666666666,10.279429296739517,14.0,6_months,0.625,0.16666666666666666,0.041666666666666664,2.4166666666666665,5.49241901776136,0,,1.0,0,,,FAIL
36308441,intervention,0.0,0.16666666666666666,0.16666666666666666,8.666666666666666,10.279429296739517,14.0,6_months,0.625,0.16666666666666666,0.041666666666666664,2.4166666666666665,5.49241901776136,0,,1.0,0,,,FAIL
36322844,control,0.5,0.3333333333333333,0.16666666666666666,0.8333333333333334,1.35400640077266,3.0,screening_window,0.6666666666666666,0.2916666666666667,0.041666666666666664,0.375,0.67700320038633,2,,0.5714285714285714,5,,,FAIL
36322844,intervention,0.16666666666666666,0.0,0.5,2.6666666666666665,3.0,4.0,9_months,0.5833333333333334,0.20833333333333334,0.125,0.8333333333333334,1.5,0,,0.48201438848920863,6,,,FAIL
36327426,control,1.0,0.0,0.0,0.0,0.0,0.0,screening_window,1.0,0.0,0.0,0.0,0.0,0,,1.0,0,,,FAIL
36327426,intervention,1.0,0.0,0.0,0.0,0.0,0.0,screening_window,1.0,0.0,0.0,0.0,0.0,0,,1.0,0,,,FAIL
36346687,control,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.5773502691896257,1.0,1_month,0.625,0.125,0.20833333333333334,0.8333333333333334,1.5,6,0.0,0.052631578947368474,9,,,FAIL
36346687,intervention,0.3333333333333333,0.16666666666666666,0.5,1.1666666666666667,1.4719601443879744,2.0,6_months,0.7083333333333334,0.125,0.16666666666666666,0.5416666666666666,1.0992421631894098,0,,0.5652173913043479,5,,,FAIL
