filename,intervention_type,totals_exact_rate,totals_within1_rate,totals_within3_rate,totals_mae,totals_rmse,totals_max_abs,totals_max_abs_window,categories_exact_rate,categories_within1_rate,categories_within3_rate,categories_mae,categories_rmse,category_shifts,kappa_totals,kappa_totals_values,kappa_categories,kappa_categories_values,per_arm_presence_flips,recon_fail_run1,recon_fail_run2,status
23358972,control,0.16666666666666666,0.16666666666666666,0.3333333333333333,10.0,13.228756555322953,24.0,12_months,0.5833333333333334,0.6666666666666666,0.8333333333333334,3.25,7.461009761866464,0,,0.1428571428571428,0.5652173913043479,0.2920353982300885,5,,,FAIL
23358972,intervention,0.16666666666666666,0.5,0.5,3.6666666666666665,4.96655480858378,9.0,12_months,0.375,0.5416666666666666,0.875,1.8333333333333333,2.943920288775949,2,,0.1428571428571428,0.5167785234899329,0.2389006342494715,6,,,FAIL
23940216,control,1.0,1.0,1.0,0.0,0.0,0.0,screening_window,0.5,0.5833333333333334,0.6666666666666666,1.6666666666666667,2.48327740429189,12,,1.0,0.3913043478260869,0.14792899408284033,7,,,FAIL
23940216,intervention,1.0,1.0,1.0,0.0,0.0,0.0,screening_window,0.5,0.5833333333333334,0.6666666666666666,1.6666666666666667,2.48327740429189,12,,1.0,0.3913043478260869,0.14792899408284033,7,,,FAIL
27264120,control,0.0,0.6666666666666666,1.0,1.5,1.6832508230603465,3.0,12_months,0.4583333333333333,0.9166666666666666,1.0,0.625,0.8897565210026093,0,0.0,-0.05882352941176472,-0.09090909090909083,-0.1063829787234043,12,,,FAIL
27264120,intervention,0.0,0.6666666666666666,1.0,1.5,1.6832508230603465,3.0,12_months,0.4583333333333333,0.9166666666666666,1.0,0.625,0.8897565210026093,0,0.0,-0.05882352941176472,-0.09090909090909083,-0.1063829787234043,12,,,FAIL
27569442,control,0.16666666666666666,0.5,0.5,2.6666666666666665,3.366501646120693,5.0,9_months,0.7916666666666666,0.875,0.875,0.6666666666666666,1.6832508230603465,0,,0.14285714285714268,0.8321678321678322,0.689922480620155,2,,,FAIL
27569442,intervention,0.0,0.3333333333333333,0.5,12.5,16.817649459223883,25.0,9_months,0.625,0.8333333333333334,0.875,3.125,8.06484139129014,0,,0.0,0.8321678321678322,0.4432989690721648,2,,,FAIL
30516102,control,0.3333333333333333,0.5,1.0,1.1666666666666667,1.4719601443879744,2.0,6_months,0.4166666666666667,0.5416666666666666,0.75,2.875,4.7740618624675015,2,,0.2941176470588235,0.11111111111111116,0.2896405919661734,10,,,FAIL
30516102,intervention,0.3333333333333333,0.5,1.0,1.1666666666666667,1.4719601443879744,2.0,6_months,0.4166666666666667,0.5416666666666666,0.75,2.875,4.7740618624675015,2,,0.2941176470588235,0.11111111111111116,0.2896405919661734,10,,,FAIL
